8476883,2021,Andrei Vasilevskiy,TBL,G,5on4,38,11298.0,3.43,1.0,46.0,1.74,1.0,4.06,4.0,32.06,35.0,5.44,8.0,9.51,3.0,22.41,33.0,3.41,29.0,9.0,4.0,1.0,1.33,1.1,0.0,1.0,0.0,4.0,0.0,0.0
8476876,2021,Malcolm Subban,BUF,G,other,4,221.0,0.23,1.0,4.0,0.12,0.0,0.7,1.0,2.99,2.0,0.06,0.0,1.4,0.0,1.45,2.0,0.23,3.0,1.0,0.0,0.06,0.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8476876,2021,Malcolm Subban,BUF,G,all,4,12628.0,10.89,17.0,204.0,8.21,11.0,27.61,21.0,120.94,132.0,2.76,3.0,67.62,46.0,50.48,70.0,10.08,128.0,33.0,8.0,4.44,3.91,2.54,6.0,8.0,3.0,35.0,0.0,0.0
8476876,2021,Malcolm Subban,BUF,G,5on5,4,10752.0,7.49,12.0,172.0,6.6,5.0,23.75,19.0,100.49,111.0,2.29,3.0,57.42,39.0,42.24,63.0,7.38,115.0,24.0,2.0,3.98,2.83,0.68,5.0,6.0,1.0,31.0,0.0,0.0
8476876,2021,Malcolm Subban,BUF,G,4on5,4,530.0,2.53,3.0,22.0,1.27,5.0,2.63,1.0,12.8,14.0,0.06,0.0,7.43,6.0,3.69,2.0,1.89,7.0,7.0,4.0,0.35,0.81,1.37,1.0,1.0,1.0,4.0,0.0,0.0
8476876,2021,Malcolm Subban,BUF,G,5on4,4,1125.0,0.64,1.0,6.0,0.21,1.0,0.54,0.0,4.66,5.0,0.35,0.0,1.37,1.0,3.1,3.0,0.58,3.0,1.0,2.0,0.04,0.1,0.49,0.0,0.0,1.0,0.0,0.0,0.0
8477457,2021,Zach Fucale,WSH,G,other,4,562.0,0.89,2.0,16.0,0.3,0.0,0.92,0.0,4.82,4.0,0.14,0.0,3.01,1.0,1.7,3.0,0.88,5.0,1.0,1.0,0.25,0.09,0.55,1.0,0.0,1.0,9.0,0.0,0.0
8477457,2021,Zach Fucale,WSH,G,all,4,10295.0,7.39,5.0,142.0,5.35,7.0,16.72,16.0,72.4,66.0,2.48,2.0,40.83,30.0,29.24,43.0,7.11,72.0,22.0,8.0,2.34,2.64,2.42,3.0,0.0,2.0,40.0,0.0,0.0
8477457,2021,Zach Fucale,WSH,G,5on5,4,7952.0,5.17,2.0,105.0,3.87,5.0,13.21,14.0,55.61,53.0,1.9,1.0,31.53,21.0,23.31,37.0,5.05,55.0,20.0,4.0,1.77,2.41,1.0,2.0,0.0,0.0,26.0,0.0,0.0
8477457,2021,Zach Fucale,WSH,G,4on5,4,736.0,1.28,1.0,18.0,1.1,2.0,2.28,2.0,9.91,8.0,0.1,1.0,5.49,8.0,2.53,0.0,1.14,9.0,1.0,3.0,0.27,0.14,0.88,0.0,0.0,1.0,5.0,0.0,0.0
