team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CAR,2021,CAR,CAR,Team Level,other,47,0.54,0.49,0.46,7075.0,72.75,17.88,4.92,12.06,2.2,38.28,24.67,17.29,17.88,17.29,67.0,33.0,44.0,144.0,11.0,3.0,1.0,14.0,3.0,30.0,39.0,56.0,89.0,7.0,14.0,71.0,23.0,20.0,31.0,49.0,25.0,26.0,1.81,2.85,13.22,0.0,3.0,8.0,144.0,100.0,100.0,12.0,1.44,0.95,0.95,18.37,18.37,17.89,86.54,15.09,7.01,15.98,2.95,48.51,27.47,14.07,15.09,14.07,83.0,34.0,33.0,150.0,12.0,8.0,3.0,14.0,3.0,38.0,42.0,71.0,105.0,3.0,6.0,77.0,30.0,15.0,22.0,62.0,30.0,25.0,2.56,3.59,8.94,0.0,4.0,8.0,150.0,117.0,117.0,8.0,1.99,2.02,2.29,14.79,14.79,13.99
CAR,2021,CAR,CAR,Team Level,all,47,0.54,0.55,0.54,170644.0,1585.49,160.86,108.29,368.8,52.5,867.51,638.04,154.71,162.73,156.49,1559.0,637.0,708.0,2904.0,162.0,144.0,30.0,346.0,53.0,727.0,764.0,1397.0,2034.0,182.0,382.0,1516.0,1074.0,362.0,501.0,1586.0,438.0,172.0,46.25,53.92,60.68,54.0,62.0,46.0,2956.13,2196.0,2229.67,250.0,23.83,36.26,36.26,148.43,149.95,146.87,1379.82,135.68,95.21,314.43,45.2,745.33,549.15,130.81,135.0,130.13,1341.0,544.0,539.0,2424.0,112.0,128.0,22.0,276.0,55.0,576.0,738.0,1229.0,1773.0,154.0,325.0,1312.0,1209.0,329.0,531.0,1355.0,378.0,152.0,41.23,46.7,47.75,34.0,39.0,39.0,2387.46,1885.0,1863.79,300.0,21.07,27.94,28.71,128.04,127.26,124.51
CAR,2021,CAR,CAR,Team Level,5on5,47,0.54,0.55,0.54,134238.0,1254.94,112.54,83.47,306.14,42.12,690.89,508.84,108.18,114.41,109.95,1230.0,514.0,575.0,2319.0,116.0,118.0,20.0,295.0,46.0,569.0,600.0,1114.0,1628.0,157.0,334.0,1176.0,997.0,272.0,392.0,1284.0,352.0,108.0,37.79,43.6,31.15,45.0,50.0,21.0,2371.13,1744.0,1777.67,208.0,17.3,26.67,26.67,103.17,104.69,102.93,1082.64,95.48,70.8,258.71,35.52,577.76,435.74,92.36,94.8,91.68,1049.0,425.0,438.0,1912.0,80.0,102.0,16.0,225.0,41.0,455.0,571.0,969.0,1394.0,133.0,283.0,1015.0,1104.0,269.0,432.0,1092.0,284.0,98.0,33.56,35.14,26.76,29.0,30.0,21.0,1875.46,1474.0,1452.79,267.0,14.67,20.8,21.74,88.4,87.62,86.23
CAR,2021,CAR,CAR,Team Level,4on5,47,0.22,0.21,0.24,16580.0,54.99,5.61,2.67,6.86,1.52,16.88,39.45,5.46,5.61,5.46,60.0,13.0,7.0,80.0,2.0,2.0,1.0,5.0,0.0,14.0,50.0,58.0,71.0,8.0,16.0,145.0,38.0,53.0,35.0,48.0,19.0,6.0,1.48,2.53,1.6,0.0,1.0,1.0,80.0,73.0,73.0,27.0,0.63,0.44,0.44,5.8,5.8,5.73,167.46,19.59,15.03,34.06,5.46,106.0,56.86,19.06,19.59,19.06,165.0,72.0,62.0,299.0,17.0,14.0,3.0,36.0,10.0,73.0,87.0,148.0,220.0,15.0,30.0,125.0,26.0,20.0,56.0,168.0,49.0,20.0,4.22,6.17,9.2,5.0,4.0,8.0,299.0,237.0,237.0,7.0,3.87,4.3,3.87,19.59,19.59,19.2
CAR,2021,CAR,CAR,Team Level,5on4,47,0.82,0.85,0.83,12751.0,202.81,24.82,17.23,43.75,6.67,121.45,65.08,23.79,24.82,23.79,202.0,77.0,82.0,361.0,33.0,21.0,8.0,32.0,4.0,114.0,75.0,169.0,246.0,10.0,18.0,124.0,16.0,17.0,43.0,205.0,42.0,32.0,5.17,4.94,14.7,9.0,8.0,16.0,361.0,279.0,279.0,3.0,4.46,8.19,8.19,21.1,21.1,20.32,43.18,5.53,2.37,5.67,1.28,13.06,29.08,5.32,5.53,5.32,44.0,13.0,6.0,63.0,3.0,4.0,0.0,1.0,1.0,10.0,38.0,41.0,54.0,3.0,6.0,95.0,49.0,25.0,21.0,33.0,15.0,9.0,0.89,1.8,2.84,0.0,1.0,2.0,63.0,57.0,57.0,18.0,0.55,0.81,0.81,5.26,5.26,5.08
MTL,2021,MTL,MTL,Team Level,other,48,0.4,0.49,0.47,5670.0,76.15,13.2,5.38,14.74,2.56,42.32,26.81,12.6,13.2,12.6,79.0,26.0,35.0,140.0,10.0,5.0,1.0,12.0,4.0,37.0,37.0,69.0,95.0,4.0,8.0,67.0,18.0,8.0,17.0,66.0,20.0,19.0,2.1,2.35,8.75,0.0,1.0,9.0,140.0,105.0,105.0,13.0,1.54,1.18,1.18,13.56,13.56,13.03,84.62,20.04,6.31,14.85,3.21,43.05,28.6,19.42,20.04,19.42,92.0,25.0,29.0,146.0,24.0,6.0,1.0,20.0,1.0,37.0,29.0,68.0,93.0,5.0,10.0,69.0,15.0,11.0,20.0,57.0,36.0,24.0,2.52,4.64,12.87,3.0,8.0,13.0,146.0,117.0,117.0,14.0,1.76,1.45,1.45,20.28,20.28,19.76
MTL,2021,MTL,MTL,Team Level,all,48,0.42,0.47,0.46,174074.0,1326.28,119.76,90.82,307.9,44.0,737.36,545.57,115.35,118.47,114.11,1417.0,463.0,651.0,2531.0,105.0,98.0,15.0,309.0,32.0,603.0,733.0,1312.0,1775.0,190.0,426.0,1323.0,1290.0,262.0,537.0,1458.0,310.0,112.0,42.34,38.6,38.82,35.0,36.0,34.0,2467.22,1880.0,1840.47,423.0,20.0,19.07,19.14,118.35,116.86,114.14,1564.06,162.7,112.34,356.12,51.44,872.3,620.63,156.4,165.2,158.83,1657.0,569.0,648.0,2874.0,191.0,137.0,26.0,366.0,54.0,735.0,743.0,1466.0,2035.0,171.0,380.0,1426.0,988.0,261.0,569.0,1591.0,463.0,172.0,49.0,56.31,57.38,56.0,71.0,64.0,2964.71,2226.0,2281.79,415.0,24.9,27.15,27.15,157.07,159.52,156.03
MTL,2021,MTL,MTL,Team Level,5on5,48,0.44,0.47,0.46,140269.0,1039.58,84.89,68.89,249.98,34.27,576.98,429.08,82.53,83.6,81.27,1107.0,367.0,521.0,1995.0,74.0,79.0,12.0,245.0,22.0,459.0,595.0,1033.0,1400.0,164.0,371.0,1017.0,1193.0,216.0,450.0,1156.0,250.0,68.0,34.41,31.24,19.24,30.0,30.0,14.0,1931.22,1474.0,1434.47,366.0,14.23,15.06,15.39,81.77,80.28,78.85,1203.79,108.73,82.81,285.55,39.25,670.48,490.51,104.41,111.23,106.83,1272.0,453.0,512.0,2237.0,119.0,105.0,19.0,285.0,39.0,577.0,600.0,1153.0,1606.0,151.0,337.0,1072.0,928.0,215.0,467.0,1287.0,328.0,110.0,38.62,39.98,30.12,44.0,44.0,31.0,2327.71,1725.0,1780.79,357.0,17.2,21.69,21.69,101.05,103.5,101.7
MTL,2021,MTL,MTL,Team Level,4on5,48,0.11,0.15,0.16,14863.0,46.61,3.5,2.06,7.08,1.52,14.73,35.18,3.47,3.5,3.47,54.0,11.0,10.0,75.0,3.0,1.0,0.0,6.0,1.0,15.0,39.0,51.0,62.0,5.0,13.0,122.0,58.0,31.0,41.0,52.0,9.0,4.0,1.46,1.14,0.9,1.0,1.0,1.0,75.0,65.0,65.0,38.0,0.49,0.04,0.04,3.88,3.88,3.85,238.52,29.13,20.93,50.92,7.87,146.99,76.23,27.81,29.13,27.81,253.0,80.0,94.0,427.0,43.0,24.0,4.0,53.0,14.0,114.0,85.0,210.0,290.0,8.0,19.0,166.0,17.0,6.0,41.0,217.0,85.0,31.0,6.84,9.75,12.55,9.0,16.0,18.0,427.0,333.0,333.0,6.0,5.43,3.65,3.65,30.84,30.84,29.67
MTL,2021,MTL,MTL,Team Level,5on4,48,0.79,0.83,0.82,13272.0,163.95,18.17,14.49,36.11,5.66,103.32,54.51,16.77,18.17,16.77,177.0,59.0,85.0,321.0,18.0,13.0,2.0,46.0,5.0,92.0,62.0,159.0,218.0,17.0,34.0,117.0,21.0,7.0,29.0,184.0,31.0,21.0,4.38,3.87,9.93,4.0,4.0,10.0,321.0,236.0,236.0,6.0,3.75,2.79,2.52,19.14,19.14,18.41,37.13,4.8,2.29,4.81,1.12,11.77,25.29,4.78,4.8,4.78,40.0,11.0,13.0,64.0,5.0,2.0,2.0,8.0,0.0,7.0,29.0,35.0,46.0,7.0,14.0,119.0,28.0,29.0,41.0,30.0,14.0,7.0,1.02,1.94,1.84,0.0,3.0,2.0,64.0,51.0,51.0,38.0,0.52,0.36,0.36,4.9,4.9,4.89
