team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2021,NYR,NYR,Team Level,other,48,0.68,0.52,0.58,7207.0,98.95,22.61,6.87,18.36,3.24,50.27,33.64,20.09,22.61,20.09,105.0,30.0,16.0,151.0,20.0,11.0,3.0,15.0,6.0,38.0,45.0,85.0,115.0,3.0,6.0,67.0,20.0,17.0,11.0,70.0,33.0,32.0,2.77,4.09,15.76,3.0,3.0,14.0,151.0,135.0,135.0,5.0,1.97,4.83,4.83,19.76,19.76,18.71,72.34,10.7,5.18,13.42,2.31,39.39,27.99,10.14,10.7,10.14,75.0,24.0,38.0,137.0,11.0,4.0,2.0,9.0,4.0,28.0,43.0,64.0,88.0,7.0,14.0,74.0,16.0,18.0,12.0,58.0,27.0,14.0,2.27,3.24,5.2,3.0,3.0,5.0,137.0,99.0,99.0,3.0,1.44,1.43,1.43,10.7,10.7,10.35
NYR,2021,NYR,NYR,Team Level,all,48,0.5,0.46,0.47,172865.0,1348.86,137.19,94.06,305.34,43.55,752.02,536.85,129.36,137.99,130.18,1346.0,523.0,544.0,2413.0,143.0,119.0,29.0,317.0,50.0,570.0,670.0,1203.0,1726.0,174.0,387.0,1231.0,1270.0,353.0,406.0,1373.0,344.0,152.0,37.59,41.18,58.42,47.0,42.0,54.0,2431.5,1869.0,1884.3,219.0,20.94,31.46,31.46,126.67,127.56,123.12,1540.4,139.68,107.93,352.23,50.14,866.18,629.86,133.94,139.05,133.34,1529.0,617.0,736.0,2882.0,122.0,126.0,28.0,308.0,48.0,700.0,842.0,1407.0,2024.0,167.0,377.0,1324.0,1001.0,336.0,400.0,1594.0,412.0,140.0,45.15,50.56,43.96,40.0,39.0,43.0,2866.72,2146.0,2135.18,208.0,23.52,27.16,27.24,135.95,135.26,131.99
NYR,2021,NYR,NYR,Team Level,5on5,48,0.46,0.44,0.45,139913.0,996.21,84.19,66.35,235.82,32.02,551.89,407.72,81.3,85.0,82.11,997.0,381.0,447.0,1825.0,87.0,83.0,18.0,254.0,33.0,403.0,518.0,910.0,1291.0,157.0,350.0,935.0,1181.0,285.0,326.0,1035.0,261.0,82.0,28.39,31.52,24.28,37.0,31.0,19.0,1843.5,1378.0,1393.3,184.0,13.69,20.99,20.99,76.88,77.77,76.5,1227.51,100.57,82.51,290.98,40.03,684.67,507.24,97.0,99.94,96.4,1210.0,496.0,595.0,2301.0,86.0,100.0,23.0,251.0,35.0,555.0,679.0,1124.0,1620.0,149.0,338.0,1000.0,936.0,279.0,333.0,1289.0,328.0,89.0,36.2,40.44,23.93,29.0,33.0,24.0,2285.72,1706.0,1695.18,176.0,17.0,20.92,21.0,96.57,95.87,94.31
NYR,2021,NYR,NYR,Team Level,4on5,48,0.11,0.12,0.14,13312.0,35.5,3.24,1.79,4.87,0.99,10.99,25.12,3.18,3.24,3.18,36.0,11.0,5.0,52.0,4.0,2.0,0.0,4.0,1.0,7.0,29.0,32.0,43.0,3.0,6.0,102.0,57.0,32.0,29.0,32.0,11.0,4.0,1.04,1.21,0.98,1.0,2.0,1.0,52.0,47.0,47.0,27.0,0.41,0.2,0.2,3.44,3.44,3.43,206.62,25.64,18.65,43.1,6.8,131.41,69.39,24.04,25.64,24.04,212.0,83.0,95.0,390.0,23.0,21.0,3.0,47.0,8.0,110.0,86.0,189.0,272.0,7.0,14.0,148.0,14.0,11.0,29.0,210.0,51.0,34.0,5.54,6.07,14.03,7.0,3.0,13.0,390.0,295.0,295.0,5.0,4.71,4.77,4.77,25.59,25.59,24.24
NYR,2021,NYR,NYR,Team Level,5on4,48,0.91,0.88,0.87,12433.0,218.2,27.14,19.05,46.3,7.29,138.86,70.36,24.78,27.14,24.78,208.0,101.0,76.0,385.0,32.0,23.0,8.0,44.0,10.0,122.0,78.0,176.0,277.0,11.0,25.0,127.0,12.0,19.0,40.0,236.0,39.0,34.0,5.39,4.36,17.4,6.0,6.0,20.0,385.0,309.0,309.0,3.0,4.88,5.44,5.44,26.58,26.58,24.48,33.94,2.76,1.58,4.71,1.0,10.7,25.23,2.76,2.76,2.76,32.0,14.0,8.0,54.0,2.0,1.0,0.0,1.0,1.0,7.0,34.0,30.0,44.0,4.0,11.0,102.0,35.0,28.0,26.0,37.0,6.0,3.0,1.14,0.82,0.8,1.0,0.0,1.0,54.0,46.0,46.0,24.0,0.37,0.04,0.04,3.09,3.09,3.09
TBL,2021,TBL,TBL,Team Level,other,49,0.51,0.47,0.48,6329.0,99.15,21.72,7.32,16.15,3.06,50.23,32.52,21.0,21.72,21.0,96.0,35.0,30.0,161.0,26.0,5.0,3.0,11.0,6.0,41.0,42.0,70.0,105.0,8.0,16.0,85.0,18.0,23.0,9.0,66.0,35.0,30.0,3.01,4.41,14.3,7.0,6.0,13.0,161.0,131.0,131.0,5.0,2.09,1.92,1.92,21.88,21.88,21.37,101.02,21.26,7.44,17.4,3.42,54.89,36.6,20.53,21.26,20.53,98.0,43.0,44.0,185.0,24.0,3.0,1.0,18.0,6.0,45.0,45.0,74.0,117.0,7.0,14.0,84.0,20.0,22.0,8.0,74.0,40.0,27.0,3.09,5.25,12.92,4.0,6.0,14.0,185.0,141.0,141.0,2.0,2.13,0.94,1.28,22.11,22.11,21.49
TBL,2021,TBL,TBL,Team Level,all,49,0.52,0.51,0.52,179647.0,1536.18,156.55,111.79,329.11,48.64,848.37,612.54,151.85,158.51,153.73,1484.0,623.0,582.0,2689.0,167.0,94.0,23.0,346.0,62.0,667.0,771.0,1317.0,1940.0,182.0,416.0,1394.0,1268.0,325.0,239.0,1460.0,505.0,142.0,45.69,60.97,49.88,57.0,59.0,51.0,2725.65,2107.0,2133.12,142.0,24.75,20.77,20.8,160.5,162.17,158.99,1420.01,142.6,99.77,309.59,44.9,790.46,572.68,137.33,142.2,136.97,1434.0,526.0,616.0,2576.0,135.0,78.0,26.0,319.0,62.0,569.0,797.0,1299.0,1825.0,194.0,452.0,1401.0,1247.0,329.0,258.0,1412.0,422.0,126.0,43.23,52.27,47.1,37.0,46.0,52.0,2551.66,1960.0,1944.68,162.0,22.04,18.95,19.28,145.37,144.94,141.34
TBL,2021,TBL,TBL,Team Level,5on5,49,0.53,0.51,0.52,144880.0,1194.88,105.05,83.46,267.58,37.64,662.16,488.12,102.19,107.0,104.08,1147.0,497.0,478.0,2122.0,110.0,68.0,13.0,294.0,44.0,533.0,595.0,1037.0,1534.0,161.0,371.0,1064.0,1184.0,257.0,193.0,1179.0,388.0,77.0,36.79,47.07,21.19,44.0,48.0,18.0,2158.65,1644.0,1670.12,124.0,17.31,14.57,14.6,107.76,109.43,107.69,1110.45,93.3,75.23,254.23,35.09,619.65,455.52,90.84,92.89,90.48,1130.0,403.0,473.0,2006.0,86.0,65.0,20.0,263.0,48.0,436.0,635.0,1044.0,1447.0,171.0,405.0,1058.0,1168.0,253.0,205.0,1152.0,319.0,62.0,35.82,39.17,18.32,31.0,35.0,20.0,1981.66,1533.0,1517.68,142.0,15.53,14.81,14.81,94.02,93.59,92.25
TBL,2021,TBL,TBL,Team Level,4on5,49,0.14,0.14,0.16,13512.0,33.73,3.84,1.8,4.44,1.02,10.23,22.67,3.82,3.84,3.82,38.0,6.0,10.0,54.0,4.0,1.0,1.0,3.0,0.0,6.0,30.0,34.0,40.0,6.0,15.0,108.0,46.0,35.0,11.0,24.0,14.0,6.0,0.45,1.74,1.66,1.0,1.0,2.0,54.0,44.0,44.0,11.0,0.41,0.23,0.23,4.02,4.02,4.01,166.25,23.39,14.75,32.53,5.24,103.42,51.68,21.31,23.39,21.31,162.0,69.0,90.0,321.0,22.0,9.0,5.0,33.0,8.0,85.0,74.0,140.0,209.0,12.0,25.0,138.0,22.0,15.0,32.0,150.0,50.0,31.0,3.05,6.08,14.27,2.0,3.0,17.0,321.0,231.0,231.0,5.0,3.84,3.15,3.15,24.09,24.09,22.47
TBL,2021,TBL,TBL,Team Level,5on4,49,0.85,0.85,0.84,14926.0,208.43,25.94,19.22,40.94,6.93,125.75,69.23,24.84,25.94,24.84,203.0,85.0,64.0,352.0,27.0,20.0,6.0,38.0,12.0,87.0,104.0,176.0,261.0,7.0,14.0,137.0,20.0,10.0,26.0,191.0,68.0,29.0,5.44,7.76,12.74,5.0,4.0,18.0,352.0,288.0,288.0,2.0,4.95,4.04,4.04,26.85,26.85,25.91,42.28,4.65,2.35,5.43,1.16,12.5,28.89,4.64,4.65,4.64,44.0,11.0,9.0,64.0,3.0,1.0,0.0,5.0,0.0,3.0,43.0,41.0,52.0,4.0,8.0,121.0,37.0,39.0,13.0,36.0,13.0,6.0,1.28,1.77,1.6,0.0,2.0,1.0,64.0,55.0,55.0,13.0,0.54,0.05,0.05,5.15,5.15,5.14
ARI,2021,ARI,ARI,Team Level,other,48,0.51,0.53,0.53,7120.0,92.47,18.03,7.1,17.38,3.15,48.49,31.84,16.35,18.03,16.35,93.0,33.0,34.0,160.0,11.0,11.0,3.0,17.0,2.0,45.0,40.0,82.0,115.0,7.0,14.0,76.0,30.0,10.0,8.0,78.0,25.0,23.0,2.97,3.25,11.83,2.0,2.0,7.0,160.0,126.0,126.0,2.0,1.99,3.89,3.89,16.14,16.14,15.3,80.77,17.0,5.34,15.15,2.64,40.17,29.69,15.54,17.0,15.54,75.0,35.0,34.0,144.0,12.0,6.0,0.0,20.0,4.0,39.0,29.0,63.0,98.0,5.0,10.0,86.0,17.0,14.0,18.0,57.0,29.0,24.0,2.45,3.89,10.66,5.0,0.0,7.0,144.0,110.0,110.0,5.0,1.57,1.21,1.21,17.36,17.36,15.9
ARI,2021,ARI,ARI,Team Level,all,48,0.43,0.45,0.45,174658.0,1254.85,112.14,86.71,289.44,41.52,714.31,515.89,107.75,111.27,106.94,1244.0,516.0,530.0,2290.0,107.0,96.0,14.0,261.0,46.0,552.0,698.0,1137.0,1653.0,204.0,473.0,1279.0,1034.0,300.0,373.0,1344.0,317.0,99.0,38.62,38.97,34.55,43.0,32.0,32.0,2228.07,1760.0,1724.66,194.0,18.99,19.94,19.94,111.19,110.34,108.04,1579.35,149.49,110.95,362.25,50.31,882.34,636.66,142.04,151.97,144.44,1644.0,548.0,661.0,2853.0,176.0,125.0,24.0,424.0,64.0,666.0,737.0,1468.0,2016.0,168.0,410.0,1343.0,1003.0,344.0,407.0,1623.0,425.0,144.0,47.11,50.93,51.44,67.0,55.0,54.0,2940.8,2192.0,2245.59,178.0,24.65,25.92,25.92,148.21,150.45,145.53
ARI,2021,ARI,ARI,Team Level,5on5,48,0.44,0.45,0.46,141182.0,990.98,76.52,65.0,237.38,32.43,562.92,414.76,74.33,75.65,73.51,974.0,415.0,434.0,1823.0,81.0,71.0,10.0,209.0,42.0,421.0,565.0,893.0,1308.0,178.0,421.0,974.0,951.0,260.0,320.0,1083.0,249.0,57.0,30.7,30.22,15.6,36.0,29.0,16.0,1761.07,1389.0,1353.66,170.0,13.35,14.35,14.42,75.46,74.61,73.55,1197.29,96.91,79.33,287.14,38.03,666.55,493.03,93.63,99.38,96.03,1251.0,410.0,530.0,2191.0,120.0,90.0,18.0,340.0,51.0,487.0,573.0,1131.0,1541.0,147.0,368.0,1014.0,934.0,290.0,343.0,1255.0,326.0,80.0,36.07,38.5,22.34,50.0,47.0,23.0,2278.8,1661.0,1714.59,160.0,16.38,19.87,20.22,93.07,95.3,93.85
ARI,2021,ARI,ARI,Team Level,4on5,48,0.08,0.1,0.1,14438.0,31.0,2.99,1.71,4.15,0.9,10.15,22.1,2.94,2.99,2.94,30.0,12.0,7.0,49.0,2.0,0.0,0.0,4.0,0.0,9.0,27.0,28.0,40.0,8.0,16.0,116.0,38.0,22.0,17.0,30.0,9.0,3.0,0.79,1.21,0.99,1.0,0.0,1.0,49.0,42.0,42.0,15.0,0.4,0.0,0.0,3.38,3.38,3.32,264.77,32.65,24.5,54.73,8.55,163.91,86.64,29.94,32.65,29.94,274.0,97.0,93.0,464.0,41.0,29.0,6.0,57.0,8.0,130.0,106.0,233.0,330.0,11.0,22.0,150.0,14.0,7.0,32.0,274.0,58.0,39.0,7.56,6.91,18.18,10.0,7.0,24.0,464.0,371.0,371.0,1.0,6.29,4.85,4.5,34.45,34.45,32.44
ARI,2021,ARI,ARI,Team Level,5on4,48,0.83,0.83,0.8,11918.0,140.39,14.59,12.9,30.53,5.04,92.75,47.19,14.14,14.59,14.14,147.0,56.0,55.0,258.0,13.0,14.0,1.0,31.0,2.0,77.0,66.0,134.0,190.0,11.0,22.0,113.0,15.0,8.0,28.0,153.0,34.0,16.0,4.16,4.28,6.14,4.0,1.0,8.0,258.0,203.0,203.0,7.0,3.25,1.71,1.63,16.21,16.21,15.87,36.52,2.93,1.77,5.22,1.08,11.7,27.3,2.92,2.93,2.92,44.0,6.0,4.0,54.0,3.0,0.0,0.0,7.0,1.0,10.0,29.0,41.0,47.0,5.0,10.0,93.0,38.0,33.0,14.0,37.0,12.0,1.0,1.04,1.63,0.26,2.0,1.0,0.0,54.0,50.0,50.0,12.0,0.41,0.0,0.0,3.34,3.34,3.33
SJS,2021,SJS,SJS,Team Level,other,47,0.46,0.49,0.49,5974.0,69.67,15.61,5.23,12.16,2.17,35.65,22.19,15.25,15.61,15.25,67.0,26.0,28.0,121.0,19.0,5.0,1.0,12.0,1.0,24.0,32.0,48.0,74.0,3.0,6.0,69.0,11.0,14.0,15.0,42.0,29.0,22.0,1.48,4.12,10.0,2.0,4.0,13.0,121.0,93.0,93.0,5.0,1.49,1.51,1.51,15.59,15.59,15.26,72.45,18.27,4.57,12.71,2.2,35.06,25.19,18.1,18.27,18.1,82.0,16.0,28.0,126.0,21.0,3.0,1.0,15.0,1.0,30.0,28.0,61.0,77.0,5.0,12.0,58.0,14.0,14.0,13.0,58.0,16.0,24.0,2.02,2.04,14.21,2.0,2.0,17.0,126.0,98.0,98.0,8.0,1.29,1.17,1.17,18.4,18.4,18.25
SJS,2021,SJS,SJS,Team Level,all,47,0.48,0.47,0.48,170631.0,1385.9,133.44,97.4,317.97,45.0,763.79,557.42,128.87,133.6,128.99,1393.0,522.0,592.0,2507.0,125.0,97.0,14.0,298.0,43.0,581.0,771.0,1268.0,1790.0,148.0,347.0,1335.0,1108.0,421.0,394.0,1389.0,395.0,131.0,41.24,48.72,43.48,45.0,39.0,41.0,2498.81,1915.0,1912.36,230.0,21.39,21.07,21.07,133.76,133.58,130.97,1478.16,142.49,102.93,337.51,47.81,826.38,607.87,138.14,143.41,139.05,1475.0,590.0,766.0,2831.0,144.0,93.0,20.0,358.0,43.0,670.0,757.0,1331.0,1921.0,149.0,358.0,1280.0,1032.0,394.0,364.0,1518.0,417.0,130.0,44.75,50.54,47.21,47.0,48.0,49.0,2859.16,2065.0,2081.76,170.0,22.42,20.98,20.98,143.94,144.79,142.03
SJS,2021,SJS,SJS,Team Level,5on5,47,0.48,0.46,0.48,141890.0,1114.09,96.81,75.92,264.86,36.3,611.93,453.18,93.59,96.98,93.71,1106.0,433.0,483.0,2022.0,83.0,73.0,11.0,248.0,34.0,467.0,634.0,1023.0,1456.0,137.0,325.0,1054.0,1060.0,363.0,331.0,1135.0,322.0,82.0,34.25,39.28,23.28,37.0,32.0,14.0,2013.81,1539.0,1536.36,207.0,15.74,15.97,16.21,96.34,96.16,94.48,1205.58,102.89,81.25,285.28,38.98,675.6,500.98,99.71,103.8,100.63,1193.0,492.0,658.0,2343.0,101.0,83.0,19.0,304.0,32.0,534.0,631.0,1092.0,1584.0,133.0,324.0,1027.0,974.0,325.0,316.0,1258.0,344.0,83.0,37.3,41.46,24.13,41.0,38.0,22.0,2371.16,1685.0,1701.76,147.0,16.79,18.6,18.6,101.08,101.93,100.3
SJS,2021,SJS,SJS,Team Level,4on5,47,0.09,0.14,0.17,11052.0,34.33,1.85,1.5,4.66,0.97,11.25,26.78,1.84,1.85,1.84,43.0,4.0,3.0,50.0,3.0,0.0,0.0,1.0,1.0,10.0,32.0,40.0,44.0,6.0,12.0,92.0,24.0,32.0,20.0,40.0,7.0,0.0,0.99,0.86,0.0,1.0,2.0,0.0,50.0,47.0,47.0,15.0,0.34,0.0,0.0,2.19,2.19,2.18,164.51,18.06,15.35,34.9,5.65,104.49,55.55,17.08,18.06,17.08,163.0,71.0,74.0,308.0,16.0,7.0,0.0,36.0,9.0,97.0,69.0,147.0,218.0,11.0,22.0,125.0,11.0,12.0,19.0,169.0,45.0,20.0,4.6,5.47,7.99,4.0,3.0,9.0,308.0,234.0,234.0,2.0,3.93,1.2,1.2,20.79,20.79,19.83
SJS,2021,SJS,SJS,Team Level,5on4,47,0.85,0.85,0.83,11715.0,167.82,19.17,14.75,36.29,5.57,104.95,55.28,18.19,19.17,18.19,177.0,59.0,78.0,314.0,20.0,19.0,2.0,37.0,7.0,80.0,73.0,157.0,216.0,2.0,4.0,120.0,13.0,12.0,28.0,172.0,37.0,27.0,4.52,4.45,10.2,5.0,1.0,14.0,314.0,236.0,236.0,3.0,3.82,3.59,3.35,19.64,19.64,19.06,35.62,3.27,1.75,4.62,0.97,11.23,26.15,3.25,3.27,3.25,37.0,11.0,6.0,54.0,6.0,0.0,0.0,3.0,1.0,9.0,29.0,31.0,42.0,0.0,0.0,70.0,33.0,43.0,16.0,33.0,12.0,3.0,0.83,1.56,0.88,0.0,5.0,1.0,54.0,48.0,48.0,13.0,0.4,0.0,0.0,3.67,3.67,3.65
CHI,2021,CHI,CHI,Team Level,other,49,0.5,0.47,0.45,5525.0,78.0,18.08,5.5,13.36,2.7,42.25,24.12,16.79,18.08,16.79,79.0,27.0,37.0,143.0,18.0,8.0,2.0,14.0,5.0,34.0,27.0,61.0,88.0,4.0,8.0,68.0,19.0,13.0,10.0,50.0,36.0,20.0,2.15,4.58,11.35,3.0,6.0,9.0,143.0,106.0,106.0,5.0,1.64,1.97,1.97,17.75,17.75,16.62,92.72,18.16,6.67,17.0,3.28,52.98,31.91,17.49,18.16,17.49,96.0,34.0,34.0,164.0,24.0,11.0,3.0,16.0,3.0,50.0,26.0,72.0,106.0,3.0,6.0,67.0,19.0,22.0,11.0,83.0,27.0,20.0,3.37,3.17,11.63,6.0,4.0,14.0,164.0,130.0,130.0,5.0,1.84,3.07,3.07,16.93,16.93,16.45
CHI,2021,CHI,CHI,Team Level,all,49,0.48,0.47,0.47,178735.0,1330.0,126.28,90.45,303.67,43.6,758.88,544.13,121.45,126.52,121.69,1395.0,472.0,678.0,2545.0,117.0,72.0,12.0,332.0,45.0,571.0,730.0,1278.0,1750.0,160.0,364.0,1245.0,1193.0,356.0,426.0,1416.0,337.0,114.0,40.32,40.8,45.15,36.0,41.0,40.0,2514.8,1867.0,1856.21,315.0,19.95,16.66,16.66,129.56,129.78,126.5,1513.32,135.13,104.83,350.59,50.42,865.72,618.3,129.91,135.76,130.53,1574.0,551.0,801.0,2926.0,162.0,113.0,17.0,291.0,47.0,735.0,777.0,1412.0,1963.0,171.0,387.0,1300.0,1200.0,409.0,489.0,1657.0,341.0,127.0,50.37,40.63,44.13,71.0,41.0,50.0,2971.13,2125.0,2146.22,345.0,22.85,23.96,23.96,134.02,134.66,131.53
CHI,2021,CHI,CHI,Team Level,5on5,49,0.47,0.46,0.47,145557.0,1022.56,78.33,66.2,247.1,33.51,585.6,433.25,76.76,78.57,77.0,1063.0,381.0,550.0,1994.0,72.0,50.0,7.0,265.0,29.0,433.0,595.0,991.0,1372.0,139.0,317.0,925.0,1113.0,295.0,353.0,1134.0,252.0,58.0,31.98,30.41,15.94,30.0,28.0,14.0,1963.8,1444.0,1433.21,277.0,13.57,10.33,10.33,81.57,81.78,80.89,1168.46,88.01,77.89,283.1,39.08,670.03,488.88,85.28,88.64,85.9,1211.0,436.0,657.0,2304.0,101.0,82.0,11.0,245.0,39.0,555.0,625.0,1110.0,1546.0,153.0,348.0,1011.0,1108.0,338.0,424.0,1332.0,247.0,68.0,40.13,29.42,18.46,51.0,31.0,19.0,2349.13,1647.0,1668.22,307.0,15.98,15.98,16.21,87.77,88.41,86.96
CHI,2021,CHI,CHI,Team Level,4on5,49,0.11,0.11,0.14,13191.0,33.79,3.0,1.61,4.75,1.01,11.2,25.42,2.92,3.0,2.92,41.0,6.0,2.0,49.0,1.0,1.0,1.0,5.0,0.0,7.0,33.0,40.0,46.0,5.0,10.0,97.0,47.0,28.0,32.0,38.0,4.0,5.0,1.24,0.45,1.3,0.0,0.0,1.0,49.0,47.0,47.0,29.0,0.37,0.23,0.23,3.14,3.14,3.12,210.49,25.3,18.25,44.66,6.86,129.59,67.34,23.51,25.3,23.51,221.0,71.0,103.0,395.0,33.0,18.0,3.0,30.0,5.0,120.0,86.0,188.0,259.0,8.0,16.0,107.0,24.0,8.0,22.0,199.0,58.0,35.0,5.37,6.95,12.98,10.0,6.0,17.0,395.0,292.0,292.0,1.0,4.57,4.28,4.04,25.82,25.82,24.64
CHI,2021,CHI,CHI,Team Level,5on4,49,0.88,0.85,0.83,14462.0,195.66,26.87,17.13,38.45,6.38,119.83,61.34,24.97,26.87,24.97,212.0,58.0,89.0,359.0,26.0,13.0,2.0,48.0,11.0,97.0,75.0,186.0,244.0,12.0,29.0,155.0,14.0,20.0,31.0,194.0,45.0,31.0,4.96,5.36,16.55,3.0,7.0,16.0,359.0,270.0,270.0,4.0,4.38,4.13,4.13,27.11,27.11,25.87,41.66,3.66,2.01,5.84,1.2,13.12,30.16,3.63,3.66,3.63,46.0,10.0,7.0,63.0,4.0,2.0,0.0,0.0,0.0,10.0,40.0,42.0,52.0,7.0,17.0,115.0,49.0,41.0,32.0,43.0,9.0,4.0,1.51,1.1,1.06,4.0,0.0,0.0,63.0,56.0,56.0,32.0,0.46,0.63,0.63,3.5,3.5,3.48
STL,2021,STL,STL,Team Level,other,47,0.47,0.42,0.43,7916.0,63.41,13.35,4.67,10.96,2.1,35.95,21.97,13.0,13.35,13.0,71.0,18.0,34.0,123.0,15.0,7.0,1.0,12.0,1.0,32.0,22.0,56.0,74.0,7.0,14.0,76.0,15.0,12.0,11.0,52.0,20.0,17.0,2.35,2.4,8.59,6.0,1.0,8.0,123.0,89.0,89.0,6.0,1.32,2.06,2.06,12.61,12.61,12.38,84.75,14.76,6.5,16.19,2.99,50.01,27.55,14.28,14.76,14.28,84.0,34.0,49.0,167.0,16.0,4.0,2.0,13.0,3.0,40.0,42.0,68.0,102.0,2.0,4.0,75.0,13.0,11.0,11.0,72.0,32.0,14.0,2.59,4.12,8.05,5.0,3.0,8.0,167.0,118.0,118.0,6.0,1.86,1.41,1.41,15.21,15.21,14.67
STL,2021,STL,STL,Team Level,all,47,0.5,0.48,0.48,170899.0,1385.02,142.69,98.03,300.68,44.79,773.48,564.33,138.49,143.75,139.52,1459.0,465.0,541.0,2465.0,165.0,107.0,23.0,273.0,35.0,587.0,757.0,1294.0,1759.0,153.0,333.0,1294.0,917.0,325.0,383.0,1341.0,470.0,113.0,43.95,56.14,42.6,64.0,61.0,40.0,2503.51,1924.0,1947.5,213.0,21.57,24.45,24.45,139.81,140.77,138.16,1478.72,140.44,103.59,338.31,49.01,825.89,600.76,134.47,140.6,134.62,1485.0,573.0,564.0,2622.0,129.0,122.0,20.0,314.0,32.0,685.0,776.0,1356.0,1929.0,162.0,345.0,1331.0,833.0,419.0,363.0,1517.0,416.0,125.0,47.79,50.71,41.94,47.0,45.0,37.0,2603.6,2058.0,2046.84,205.0,22.81,28.2,28.27,134.98,135.1,132.31
STL,2021,STL,STL,Team Level,5on5,47,0.47,0.48,0.47,137415.0,1068.35,93.04,73.08,242.18,34.59,600.54,445.57,90.82,94.1,91.85,1112.0,377.0,432.0,1921.0,108.0,78.0,15.0,210.0,29.0,456.0,608.0,1004.0,1381.0,135.0,299.0,972.0,860.0,279.0,319.0,1090.0,341.0,58.0,36.05,41.29,15.71,50.0,45.0,13.0,1959.51,1489.0,1512.5,182.0,15.09,14.48,14.48,93.65,94.61,93.44,1194.28,104.03,80.54,282.0,39.3,666.58,493.54,99.85,104.19,100.01,1192.0,474.0,432.0,2098.0,91.0,96.0,16.0,256.0,25.0,560.0,638.0,1101.0,1575.0,145.0,313.0,1019.0,772.0,360.0,289.0,1249.0,329.0,88.0,40.08,39.3,24.66,40.0,32.0,19.0,2079.6,1666.0,1654.84,174.0,16.67,22.38,22.44,98.26,98.38,96.64
STL,2021,STL,STL,Team Level,4on5,47,0.2,0.19,0.22,12298.0,47.53,4.52,2.22,6.47,1.4,14.44,33.96,4.47,4.52,4.47,56.0,7.0,5.0,68.0,4.0,2.0,0.0,5.0,1.0,7.0,44.0,52.0,59.0,4.0,6.0,110.0,35.0,26.0,20.0,46.0,12.0,5.0,1.31,1.58,1.63,1.0,3.0,0.0,68.0,63.0,63.0,20.0,0.52,0.42,0.42,4.61,4.61,4.59,161.19,18.07,14.55,34.97,5.63,97.0,51.78,16.77,18.07,16.77,167.0,55.0,77.0,299.0,19.0,22.0,2.0,41.0,4.0,74.0,62.0,148.0,203.0,12.0,22.0,129.0,15.0,10.0,38.0,160.0,41.0,21.0,3.71,5.53,8.83,2.0,7.0,10.0,299.0,222.0,222.0,4.0,3.82,4.42,4.42,17.47,17.47,16.98
