lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847799884785858479977,2021,Foegele-Ryan-Yamamoto,EDM,line,5on5,6,777.0,57.0,0.38,0.46,0.47,6.91,0.73,0.54,1.49,0.21,3.54,2.47,0.72,0.7,0.68,7.0,2.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,6.0,8.0,1.0,2.0,9.0,3.0,2.0,0.0,5.0,3.0,1.0,0.17,0.34,0.23,0.0,1.0,0.0,11.85,9.0,8.89,0.0,0.12,0.11,0.11,0.74,0.7,0.68,8.39,1.19,0.58,1.68,0.22,3.53,2.8,1.1,1.21,1.12,8.0,2.0,4.0,14.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,6.0,8.0,1.0,2.0,6.0,8.0,5.0,5.0,4.0,4.0,2.0,0.13,0.57,0.49,0.0,1.0,1.0,14.27,10.0,10.07,4.0,0.13,0.0,0.0,1.32,1.34,1.24
847802084793538480007,2021,Amadio-Howden-Rondbjerg,VGK,line,5on5,3,1042.0,12.0,0.67,0.62,0.56,11.17,1.12,0.81,2.44,0.33,6.17,4.12,1.07,1.1,1.05,8.0,7.0,6.0,21.0,0.0,0.0,0.0,2.0,0.0,8.0,5.0,8.0,15.0,0.0,0.0,10.0,8.0,4.0,0.0,8.0,7.0,0.0,0.21,0.91,0.0,0.0,0.0,0.0,20.94,15.0,14.88,0.0,0.17,0.0,0.0,1.29,1.27,1.21,8.62,0.56,0.65,2.03,0.28,4.95,3.53,0.55,0.57,0.56,8.0,4.0,1.0,13.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,8.0,12.0,1.0,2.0,7.0,10.0,1.0,2.0,10.0,2.0,0.0,0.27,0.29,0.0,0.0,0.0,0.0,13.05,12.0,12.02,1.0,0.13,0.0,0.0,0.69,0.7,0.69
847541384800128481535,2021,Hoglander-Pettersson-Dowling,VAN,line,5on5,5,634.0,35.0,0.31,0.44,0.43,4.47,0.27,0.27,0.92,0.12,2.54,1.87,0.27,0.31,0.3,4.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,6.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,2.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,7.62,6.0,6.3,0.0,0.06,0.0,0.0,0.33,0.36,0.36,5.52,0.61,0.53,1.06,0.17,3.41,2.22,0.6,0.59,0.59,5.0,3.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,5.0,8.0,0.0,0.0,3.0,9.0,2.0,2.0,6.0,1.0,1.0,0.31,0.1,0.2,0.0,0.0,0.0,9.07,8.0,7.97,1.0,0.11,0.0,0.0,0.72,0.7,0.7
847629284780108478472,2021,Palat-Point-Joseph,TBL,line,5on5,8,797.0,66.0,0.57,0.46,0.48,7.36,0.75,0.55,1.39,0.2,4.18,2.93,0.75,0.82,0.82,7.0,3.0,3.0,13.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0,9.0,1.0,2.0,4.0,7.0,3.0,2.0,5.0,5.0,0.0,0.17,0.58,0.0,0.0,1.0,0.0,14.27,10.0,11.0,2.0,0.12,0.0,0.0,0.86,0.95,0.95,7.81,0.58,0.51,1.81,0.23,4.67,3.19,0.57,0.54,0.54,7.0,4.0,4.0,15.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,6.0,10.0,1.0,2.0,5.0,6.0,3.0,2.0,7.0,4.0,0.0,0.2,0.38,0.0,0.0,1.0,0.0,14.02,11.0,10.32,1.0,0.11,0.0,0.0,0.68,0.64,0.64
84718738479341,2021,Dineen-Stralman,ARI,pairing,5on5,8,822.0,52.0,0.76,0.67,0.69,12.77,1.16,0.91,2.95,0.45,7.52,5.0,1.11,1.12,1.07,13.0,5.0,4.0,22.0,0.0,1.0,0.0,1.0,0.0,8.0,8.0,13.0,18.0,0.0,0.0,7.0,6.0,2.0,1.0,10.0,8.0,0.0,0.31,0.86,0.0,0.0,0.0,0.0,20.66,18.0,17.03,0.0,0.18,0.15,0.15,1.2,1.16,1.11,5.63,0.38,0.31,1.27,0.17,3.33,2.54,0.37,0.41,0.4,6.0,2.0,3.0,11.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,5.0,7.0,0.0,0.0,2.0,7.0,1.0,0.0,7.0,1.0,0.0,0.29,0.08,0.0,1.0,0.0,0.0,12.18,8.0,8.89,0.0,0.06,0.0,0.0,0.44,0.48,0.47
847747684781338480018,2021,Lehkonen-Suzuki-Evans,MTL,line,5on5,7,685.0,108.0,0.17,0.33,0.25,3.58,0.13,0.18,0.94,0.11,2.21,1.42,0.13,0.12,0.12,4.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,1.0,2.0,7.0,4.0,0.0,3.0,5.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,8.16,5.0,4.58,3.0,0.04,0.0,0.0,0.17,0.16,0.16,10.04,0.63,0.66,2.53,0.34,6.14,4.69,0.61,0.66,0.64,11.0,4.0,3.0,18.0,0.0,0.0,0.0,4.0,0.0,4.0,7.0,11.0,15.0,0.0,0.0,6.0,4.0,1.0,2.0,13.0,2.0,0.0,0.36,0.27,0.0,0.0,0.0,0.0,18.55,15.0,15.43,2.0,0.14,0.0,0.0,0.77,0.8,0.78
84769588477488,2021,Slavin-Pesce,CAR,pairing,5on5,29,1493.0,189.0,0.28,0.42,0.42,10.93,0.77,0.61,2.4,0.34,5.71,5.17,0.76,0.76,0.75,8.0,7.0,6.0,21.0,0.0,0.0,0.0,4.0,0.0,4.0,7.0,8.0,15.0,4.0,8.0,5.0,8.0,1.0,3.0,13.0,1.0,1.0,0.45,0.1,0.23,0.0,0.0,0.0,21.02,15.0,14.92,2.0,0.12,0.0,0.23,0.67,0.66,0.66,16.63,1.99,1.26,3.84,0.6,7.79,5.52,1.89,1.99,1.89,12.0,9.0,8.0,29.0,1.0,4.0,0.0,2.0,0.0,7.0,7.0,11.0,20.0,1.0,2.0,4.0,11.0,1.0,10.0,10.0,9.0,2.0,0.26,1.11,0.63,1.0,0.0,0.0,29.32,21.0,21.08,5.0,0.27,0.84,0.84,1.42,1.42,1.41
84773468479523,2021,Carlsson-Weegar,FLA,pairing,5on5,12,1097.0,105.0,0.4,0.51,0.58,9.89,0.59,0.75,2.36,0.39,5.97,4.94,0.58,0.57,0.56,14.0,1.0,5.0,20.0,0.0,0.0,0.0,6.0,0.0,4.0,5.0,14.0,15.0,2.0,4.0,5.0,13.0,4.0,3.0,14.0,1.0,0.0,0.46,0.13,0.0,0.0,0.0,0.0,19.1,15.0,14.42,0.0,0.15,0.0,0.0,0.74,0.71,0.7,8.34,0.9,0.59,2.08,0.29,4.2,2.95,0.86,0.94,0.9,10.0,1.0,8.0,19.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,10.0,11.0,0.0,0.0,13.0,10.0,6.0,4.0,7.0,3.0,1.0,0.24,0.38,0.28,0.0,0.0,0.0,19.34,11.0,11.27,2.0,0.12,0.28,0.28,0.74,0.78,0.77
847638984800398480830,2021,Necas-Trocheck-Svechnikov,CAR,line,5on5,23,6346.0,147.0,0.43,0.49,0.48,68.32,4.56,4.12,16.48,2.12,36.92,27.8,4.47,4.63,4.55,64.0,28.0,25.0,117.0,12.0,3.0,0.0,21.0,4.0,19.0,33.0,52.0,80.0,14.0,28.0,66.0,67.0,14.0,23.0,74.0,16.0,2.0,2.15,1.8,0.6,6.0,5.0,1.0,121.21,92.0,94.68,14.0,0.85,0.49,0.24,5.16,5.26,5.23,72.04,6.13,4.78,16.96,2.25,38.99,28.9,5.95,6.04,5.87,67.0,31.0,22.0,120.0,6.0,5.0,2.0,17.0,1.0,35.0,34.0,61.0,92.0,8.0,16.0,61.0,52.0,15.0,26.0,75.0,19.0,4.0,2.52,2.43,1.18,4.0,1.0,1.0,117.13,98.0,96.07,20.0,0.98,0.83,0.94,6.17,6.07,5.98
847740284793858480023,2021,Buchnevich-Thomas-Kyrou,STL,line,5on5,15,703.0,170.0,0.76,0.76,0.8,8.4,0.72,0.6,1.63,0.26,4.91,3.88,0.71,0.72,0.72,8.0,4.0,1.0,13.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,8.0,12.0,0.0,0.0,1.0,3.0,1.0,1.0,9.0,3.0,0.0,0.42,0.3,0.0,0.0,0.0,0.0,13.24,12.0,12.21,0.0,0.12,0.0,0.0,0.84,0.84,0.84,2.24,0.23,0.15,0.45,0.06,1.23,0.87,0.23,0.23,0.23,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.04,0.2,0.0,0.0,1.0,0.0,4.06,3.0,3.03,0.0,0.03,0.0,0.0,0.26,0.26,0.26
